Number of Units (Dense_1),Number of Units (Dense_2),Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation MRR,Validation Precision,Validation Recall,Validation Accuracy Adjusted
1294,512,0.0003,0.20349092781543732,0.9076659083366394,0.20330557227134705,0.9079033136367798,0.7433888785211442,0.5742315238718116,0.5725464623410499,0.9146636185499674
1294,512,0.0002,0.20236705243587494,0.9078659415245056,0.1995256543159485,0.9085891842842102,0.7603672254880606,0.597254004576659,0.5956961199869579,0.919268451992162
1294,512,0.0001,0.20350505411624908,0.9079271554946899,0.19961194694042206,0.9079033136367798,0.74886460244886,0.5802549852893102,0.5787414411477013,0.9158719790986284
1294,256,0.0003,0.2031380534172058,0.907723069190979,0.2007226198911667,0.909209668636322,0.7589307745741446,0.5969271003595946,0.5953700684708184,0.9192031352057479
1294,256,0.0002,0.20346157252788544,0.9074046611785889,0.1979106217622757,0.9076094031333923,0.7504962261412286,0.5840418574231524,0.5823280078252364,0.9166231221423906
1294,256,0.0001,0.20481686294078827,0.907167911529541,0.20326288044452667,0.9066949486732483,0.7536687557670564,0.5888888888888889,0.5875448320834692,0.9176028739386022
512,512,0.0003,0.20450983941555023,0.9068413972854614,0.20339585840702057,0.9065970182418823,0.7488112085679028,0.5799803729146222,0.5780893381154223,0.9158066623122142
512,512,0.0002,0.20397724211215973,0.9074985980987549,0.20407526195049286,0.9073808193206787,0.7446854944895428,0.5765206017004578,0.5748288229540267,0.915120836054866
512,512,0.0001,0.2071211338043213,0.9077190160751343,0.20523834228515625,0.9076420664787292,0.7485130063346909,0.5831971232428899,0.5816759047929573,0.9164598301763554
512,256,0.0003,0.2057858556509018,0.906706690788269,0.2075747400522232,0.9076420664787292,0.7496176894445993,0.5850228907782865,0.5833061623736551,0.916819072501633
512,256,0.0002,0.20497773587703705,0.9072250723838806,0.19788676500320435,0.9100261330604553,0.7566695696349508,0.5930042497548218,0.5914574502771438,0.9184193337687786
512,256,0.0001,0.21065005660057068,0.9065597057342529,0.20789124071598053,0.9074134826660156,0.7431807460628486,0.5756783262504086,0.5741767199217477,0.9149575440888308
