Number of Units (Dense_1),Number of Units (Dense_2),Learning Rate,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy,Validation MRR,Validation Precision,Validation Recall,Validation Accuracy Adjusted
1024,512,0.0003,0.18441806733608246,0.9141480922698975,0.18804599344730377,0.9128674268722534,0.7808808435196417,0.6286368094148415,0.6269970655363547,0.9255388634879164
1024,512,0.0002,0.18258094787597656,0.9149196147918701,0.18609485030174255,0.9129000902175903,0.7839789845831636,0.6330935251798561,0.6312357352461689,0.9264206401045069
1024,512,0.0001,0.18581673502922058,0.9142624139785767,0.1884273886680603,0.9119856357574463,0.7790912413299731,0.6249182472204055,0.6230844473426801,0.9247877204441541
1024,256,0.0003,0.18429476022720337,0.9146297574043274,0.18796144425868988,0.913096010684967,0.7817930753838656,0.6303921568627451,0.628953374633192,0.925898105813194
1024,256,0.0002,0.18388989567756653,0.9145032167434692,0.18673735857009888,0.9138471484184265,0.7852276497361396,0.6366906474820144,0.6348223019237039,0.9271391247550621
1024,256,0.0001,0.1874818503856659,0.9135602712631226,0.18766210973262787,0.9129653573036194,0.7791826070728742,0.6242642249836494,0.6224323443104011,0.924657086871326
512,512,0.0003,0.18603229522705078,0.914397120475769,0.18796291947364807,0.9136512279510498,0.7781061760650257,0.6272073250490516,0.625366807955657,0.9252449379490529
512,512,0.0002,0.18588487803936005,0.914217472076416,0.18755905330181122,0.9132266640663147,0.7785350118710659,0.6249182472204055,0.6230844473426801,0.9247877204441541
512,512,0.0001,0.1913197785615921,0.9128949046134949,0.19189538061618805,0.9104833602905273,0.7730801530278978,0.618782722513089,0.6165634170198891,0.9235467015022861
512,256,0.0003,0.18634802103042603,0.9139480590820312,0.18948768079280853,0.9124101996421814,0.7735538293261996,0.6155606407322655,0.6139550048907727,0.9229261920313521
512,256,0.0002,0.18733492493629456,0.913939893245697,0.189789280295372,0.9117569923400879,0.7777978652815349,0.6253677672441974,0.6237365503749592,0.9248856956237753
512,256,0.0001,0.1931765377521515,0.912229597568512,0.19304858148097992,0.9104833602905273,0.7741383108871664,0.6204642039882314,0.618845777632866,0.9239059438275636
